rank,gutenberg,title,author,downloads_30d,pick_score,locc,shelves,pg_issued,language,source,coffees,slug
1,1342,Pride and Prejudice,Jane Austen,180357,9,PR,Best Books Ever Listings; Harvard Classics; Category: Romance; Category: Novels; Category: Classics of Literature; Category: British Literature,1998-06-01,en,hand-picked,1,b01
2,2701,Moby-Dick,Herman Melville,163497,11,PS,Best Books Ever Listings; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: American Literature,2001-07-01,en,hand-picked,1,b04
3,2554,Crime and Punishment,Fyodor Dostoevsky,118512,11,PG,"Best Books Ever Listings; Crime Fiction; Harvard Classics; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Classics of Literature; Category: Russian Literature",2006-03-28,en,hand-picked,2,b31
4,1661,The Adventures of Sherlock Holmes,Arthur Conan Doyle,107734,11,PR,"Detective Fiction; Contemporary Reviews; Banned Books from Anne Haight's list; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",1999-03-01,en,hand-picked,1,b29
5,11,Alice's Adventures in Wonderland,Lewis Carroll,104420,9,PR; PZ,Children's Literature; Category: Children & Young Adult Reading; Category: Novels; Category: Classics of Literature; Category: British Literature,2008-06-27,en,hand-picked,1,b06
6,84,Frankenstein,Mary Shelley,99964,11,PR,Precursors of Science Fiction; Gothic Fiction; Movie Books; Science Fiction by Women; Category: Science-Fiction & Fantasy; Category: Novels; Category: Classics of Literature; Category: British Literature,1993-10-01,en,hand-picked,1,b02
7,1513,Romeo and Juliet,William Shakespeare,95206,9,PR,Category: Romance; Category: Plays/Films/Dramas; Category: Classics of Literature; Category: British Literature,1998-11-01,en,hand-picked,1,b45
8,345,Dracula,Bram Stoker,92827,11,PR,"Horror; Gothic Fiction; Mystery Fiction; Movie Books; Category: Science-Fiction & Fantasy; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Classics of Literature; Category: British Literature",1995-10-01,en,hand-picked,1,b03
9,43,Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,90059,11,PR,"Precursors of Science Fiction; Horror; Movie Books; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Classics of Literature; Category: British Literature",2008-06-27,en,hand-picked,1,b15
10,3268,The Mysteries of Udolpho,Ann Ward Radcliffe,84458,11,PR,"Italy; Gothic Fiction; Category: Romance; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Classics of Literature; Category: British Literature",2002-06-01,en,auto-scored,1,g3268
11,2465,Carmen,Prosper Mérimée,77289,11,PQ,"Opera; Category: Romance; Category: Crime, Thrillers and Mystery; Category: Novels; Category: French Literature",2006-03-28,en,auto-scored,1,g2465
12,1260,Jane Eyre,Charlotte Brontë,71908,9,PR,Category: Romance; Category: Novels; Category: Classics of Literature; Category: British Literature,1998-03-01,en,hand-picked,1,b07
13,244,A Study in Scarlet,Arthur Conan Doyle,62582,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1995-04-01,en,hand-picked,2,b28
14,564,The Mystery of Edwin Drood,Charles Dickens,61536,11,PR,"Mystery Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Classics of Literature; Category: British Literature",1996-06-01,en,auto-scored,1,g564
15,42,The strange case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,61145,11,PR,"Precursors of Science Fiction; Horror; Gothic Fiction; Movie Books; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Classics of Literature; Category: British Literature",1992-10-01,en,auto-scored,1,g42
16,2852,The Hound of the Baskervilles,Arthur Conan Doyle,60959,17,PR,"Detective Fiction; Bestsellers, American, 1895-1923; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Classics of Literature; Category: British Literature",2001-10-01,en,hand-picked,1,b30
17,1695,The Man Who Was Thursday: A Nightmare,G. K. Chesterton,59096,11,PR,"Best Books Ever Listings; Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: British Literature; Category: Philosophy & Ethics",1999-04-01,en,auto-scored,1,g1695
18,6133,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",Maurice Leblanc,56071,11,PQ,"Crime Fiction; Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: French Literature",2004-07-01,en,auto-scored,1,g6133
19,209,The Turn of the Screw,Henry James,54814,11,PS,"Opera; Best Books Ever Listings; Horror; Gothic Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1995-02-01,en,auto-scored,1,g209
20,601,The Monk: A Romance,M. G. Lewis,54719,11,PR,Best Books Ever Listings; Gothic Fiction; Category: Romance; Category: Novels; Category: Classics of Literature; Category: British Literature,1996-07-01,en,auto-scored,1,g601
21,204,The innocence of Father Brown,G. K. Chesterton,53344,11,PR,"Detective Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",2008-07-09,en,auto-scored,1,g204
22,831,Four Arthurian Romances,Chrétien de Troyes,53258,11,PQ,"Fantasy; Arthurian Legends; Category: Historical Novels; Category: Romance; Category: Adventure; Category: Mythology, Legends & Folklore; Category: Classics of Literature; Category: French Literature",1997-02-01,en,auto-scored,1,g831
23,1184,The Count of Monte Cristo,Alexandre Dumas,53209,11,PQ,Adventure; Movie Books; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: French Literature,1998-01-01,en,hand-picked,2,b33
24,863,The Mysterious Affair at Styles,Agatha Christie,53161,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1997-03-01,en,auto-scored,1,g863
25,175,The Phantom of the Opera,Gaston Leroux,53126,11,PQ,"Opera; Gothic Fiction; Movie Books; Category: Crime, Thrillers and Mystery; Category: Novels; Category: French Literature",1994-10-01,en,auto-scored,1,g175
26,2097,The Sign of the Four,Arthur Conan Doyle,52332,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2000-03-01,en,auto-scored,1,g2097
27,108,The Return of Sherlock Holmes,Arthur Conan Doyle,52211,11,PR,"Detective Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",2006-03-08,en,auto-scored,1,g108
28,583,The Woman in White,Wilkie Collins,51733,11,PR,"Mystery Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1996-07-01,en,auto-scored,1,g583
