rank,status,gutenberg,title,author,year,downloads_30d,sitelinks,form,genre,wikipedia,slug
1,have,1342,Pride and Prejudice,Jane Austen,1813,180357,100,novel,novel of manners;romantic fiction;psychological fiction;satirical fiction,yes,b01
2,have,2701,Moby-Dick,Herman Melville,1851,163497,,,,no,b04
3,have,2554,Crime and Punishment,Fyodor Dostoevsky,1866,118512,109,novel,serialized fiction;crime fiction;philosophical fiction;psychological fiction,yes,b31
4,have,1661,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892,107734,52,short story collection,detective fiction,yes,b29
5,have,11,Alice's Adventures in Wonderland,Lewis Carroll,1865,104420,,,,no,b06
6,have,84,Frankenstein,Mary Shelley,1818,99964,,,,no,b02
7,have,1513,Romeo and Juliet,William Shakespeare,1597,95206,,,,no,b45
8,have,345,Dracula,Bram Stoker,1897,92827,75,novel,epistolary fiction;horror fiction;romantic fiction;Gothic fiction;vampire fiction,yes,b03
9,have,43,Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,1886,90059,60,novel;novella,science fiction;sensation fiction;crime fiction;horror fiction;Gothic fiction,yes,b15
10,new,65238,The Secret of Chimneys,Agatha Christie,1925,86601,26,novel,thriller;detective fiction;crime fiction,yes,g65238
11,have,3268,The Mysteries of Udolpho,Ann Ward Radcliffe,1794,84458,20,novel,Gothic fiction;fantasy;thriller;horror fiction;romantic fiction,yes,g3268
12,have,2465,Carmen,Prosper Mérimée,1847,77289,29,novella,,yes,g2465
13,have,1260,Jane Eyre,Charlotte Brontë,1847,71908,70,novel,Bildungsroman;romance;education novel;autobiographical novel;Gothic fiction,yes,b07
14,new,67979,The Blue Castle,Lucy Maud Montgomery,1926,71749,10,novel,romantic fiction,yes,g67979
15,have,244,A Study in Scarlet,Arthur Conan Doyle,1887,62582,61,novel,detective fiction;crime fiction;mystery fiction,yes,b28
16,have,564,The Mystery of Edwin Drood,Charles Dickens,,61536,,,,no,g564
17,have,42,The strange case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,,61145,,,,no,g42
18,have,2852,The Hound of the Baskervilles,Arthur Conan Doyle,1902,60959,,,,no,b30
19,have,1695,The Man Who Was Thursday: A Nightmare,G. K. Chesterton,1908,59096,19,novel,thriller,yes,g1695
20,have,6133,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",Maurice Leblanc,,56071,,,,no,g6133
21,have,209,The Turn of the Screw,Henry James,1898,54814,27,novella,fantasy;ghost story;horror fiction;Gothic fiction,yes,g209
