rank,tier,gutenberg,title,author,year,form,text_source,downloads_30d,sitelinks,wikipedia,genre,status,slug
1,S,67098,Winnie-the-Pooh,A. A. Milne,1926,children's book,gutenberg,,,,,,
2,S,,The Murder of Roger Ackroyd,Agatha Christie,1926,novel,us_pd,,,,,,
3,S,863,The Mysterious Affair at Styles,Agatha Christie,1920,novel,gutenberg,53161,44,yes,detective fiction;romantic fiction,have,g863
4,S,1184,The Count of Monte Cristo,Alexandre Dumas,1844,novel,gutenberg,53209,,no,,have,b33
5,S,1257,The Three Musketeers,Alexandre Dumas,1844,novel,gutenberg,14239,,no,,have,g1257
6,S,244,A Study in Scarlet,Arthur Conan Doyle,1887,novel,gutenberg,62582,61,yes,detective fiction;crime fiction;mystery fiction,have,b28
7,S,1661,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892,short story collection,gutenberg,107734,52,yes,detective fiction,have,b29
8,S,2852,The Hound of the Baskervilles,Arthur Conan Doyle,1902,novel,gutenberg,60959,,no,,have,b30
9,S,14838,The Tale of Peter Rabbit,Beatrix Potter,1902,children's book,gutenberg,25657,31,yes,children's literature,new,g14838
10,S,345,Dracula,Bram Stoker,1897,novel,gutenberg,92827,75,yes,epistolary fiction;horror fiction;romantic fiction;Gothic fiction;vampire fiction,have,b03
11,S,46,A Christmas Carol,Charles Dickens,1843,novella,gutenberg,21933,75,yes,Christmas fiction,have,b14
12,S,98,A Tale of Two Cities,Charles Dickens,1859,novel,gutenberg,40992,65,yes,historical fiction;social fiction,have,b09
13,S,766,David Copperfield,Charles Dickens,1850,novel,gutenberg,27631,68,yes,Bildungsroman;autobiographical novel,new,g766
14,S,1400,Great Expectations,Charles Dickens,1861,novel,gutenberg,26966,69,yes,black comedy;Bildungsroman,have,b10
15,S,730,Oliver Twist,Charles Dickens,1838,novel,gutenberg,15405,83,yes,Bildungsroman,new,g730
16,S,1260,Jane Eyre,Charlotte Brontë,1847,novel,gutenberg,71908,70,yes,Bildungsroman;romance;education novel;autobiographical novel;Gothic fiction,have,b07
17,S,521,Robinson Crusoe,Daniel Defoe,1719,novel,gutenberg,14621,,no,,have,b42
18,S,,The Maltese Falcon,Dashiell Hammett,1930,novel,us_pd,,,,,,
19,S,2641,A Room with a View,E. M. Forster,1908,novel,gutenberg,,,,,,
20,S,768,Wuthering Heights,Emily Brontë,1847,novel,gutenberg,41958,,no,,have,b08
21,S,,All Quiet on the Western Front,Erich Maria Remarque,1929,novel,us_pd,,,,,,
22,S,,A Farewell to Arms,Ernest Hemingway,1929,novel,us_pd,,,,,,
23,S,,The Sun Also Rises,Ernest Hemingway,1926,novel,us_pd,,,,,,
24,S,64317,The Great Gatsby,F. Scott Fitzgerald,1925,novel,gutenberg,48709,84,yes,tragedy;Great American Novel,have,b05
25,S,113,The Secret Garden,Frances Hodgson Burnett,1911,novel,gutenberg,32404,,no,,have,b23
26,S,5200,The Metamorphosis,Franz Kafka,1915,novella,gutenberg,38512,84,yes,absurdist literature;epic literature;body horror literature,have,b27
27,S,7849,The Trial,Franz Kafka,1925,novel,gutenberg,6403,73,yes,absurdist literature;dystopian fiction,new,g7849
28,S,2554,Crime and Punishment,Fyodor Dostoevsky,1866,novel,gutenberg,118512,109,yes,serialized fiction;crime fiction;philosophical fiction;psychological fiction,have,b31
29,S,28054,The Brothers Karamazov,Fyodor Dostoevsky,1880,novel,gutenberg,45630,91,yes,serialized fiction;philosophical fiction,new,g28054
30,S,175,The Phantom of the Opera,Gaston Leroux,1910,novel,gutenberg,53126,46,yes,fantasy;mystery fiction;horror fiction;romantic fiction;Gothic fiction,have,g175
31,S,145,Middlemarch,George Eliot,1871,novel,gutenberg,,,,,,
32,S,2413,Madame Bovary,Gustave Flaubert,1857,novel,gutenberg,8233,74,yes,realist novel,new,g2413
33,S,35,The Time Machine,H. G. Wells,1895,novella,gutenberg,19811,,no,,have,b18
34,S,36,The War of the Worlds,H. G. Wells,1898,novel,gutenberg,14318,,no,,have,b17
35,S,203,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,novel,gutenberg,,,,,,
36,S,2701,Moby-Dick,Herman Melville,1851,novel,gutenberg,163497,,no,,have,b04
37,S,6130,The Iliad,Homer,,epic,gutenberg,,,,,,
38,S,1728,The Odyssey,Homer,,epic,gutenberg,4767,,no,,have,g1728
39,S,16,Peter Pan,J. M. Barrie,1911,novel,gutenberg,23507,34,yes,fantasy,have,b24
40,S,215,The Call of the Wild,Jack London,1903,novel,gutenberg,18718,54,yes,adventure fiction,have,b20
41,S,2591,Grimms' Fairy Tales,Jacob and Wilhelm Grimm,1812,fairy tales,gutenberg,,,,,,
42,S,158,Emma,Jane Austen,1815,novel,gutenberg,18556,49,yes,romantic fiction,have,b48
43,S,1342,Pride and Prejudice,Jane Austen,1813,novel,gutenberg,180357,100,yes,novel of manners;romantic fiction;psychological fiction;satirical fiction,have,b01
44,S,161,Sense and Sensibility,Jane Austen,1811,novel,gutenberg,34708,56,yes,Bildungsroman;romantic fiction,have,b49
45,S,829,Gulliver's Travels,Jonathan Swift,1726,novel,gutenberg,15893,,no,,have,b41
46,S,219,Heart of Darkness,Joseph Conrad,1899,novella,gutenberg,16334,,no,,have,b19
47,S,103,Around the World in Eighty Days,Jules Verne,1873,novel,gutenberg,31322,,no,,have,b35
48,S,18857,Journey to the Center of the Earth,Jules Verne,1864,novel,gutenberg,28830,64,yes,adventure;lost world fiction;scientific romance;subterranean fiction;adventure fiction,new,g18857
49,S,164,Twenty Thousand Leagues Under the Sea,Jules Verne,1870,novel,gutenberg,15599,,no,,have,b36
50,S,289,The Wind in the Willows,Kenneth Grahame,1908,novel,gutenberg,9111,,no,,have,b39
51,S,55,The Wonderful Wizard of Oz,L. Frank Baum,1900,novel,gutenberg,33071,,no,,have,b21
52,S,45,Anne of Green Gables,L. M. Montgomery,1908,novel,gutenberg,27049,,no,,have,b22
53,S,1399,Anna Karenina,Leo Tolstoy,1877,novel,gutenberg,19677,,no,,have,b32
54,S,2600,War and Peace,Leo Tolstoy,1869,novel,gutenberg,,,,,,
55,S,11,Alice's Adventures in Wonderland,Lewis Carroll,1865,novel,gutenberg,104420,,no,,have,b06
56,S,12,Through the Looking-Glass,Lewis Carroll,1871,novel,gutenberg,13061,61,yes,fantasy,have,b37
