rank,tier,gutenberg,title,author,year,downloads_30d,form,source,in_old_bank,old_slug
1,A,2638,The Idiot,Fyodor Dostoevsky,1869,12869,novel,curated-pool,,
2,A,2814,Dubliners,James Joyce,1914,12784,short story collection,curated-pool,,
3,A,910,White Fang,Jack London,1906,12571,novel,curated-pool,True,g910
4,A,26,Paradise Lost,John Milton,1667,12344,poem,curated-pool,,
5,A,61,The Communist Manifesto,Karl Marx and Friedrich Engels,1848,12066,nonfiction,curated-pool,,
6,A,105,Persuasion,Jane Austen,1817,11688,novel,curated-pool,True,b50
7,A,1874,The Railway Children,E. Nesbit,1906,10995,novel,curated-pool,True,g1874
8,A,421,Kidnapped,Robert Louis Stevenson,1886,9755,novel,curated-pool,True,g421
9,A,1268,The Mysterious Island,Jules Verne,1874,9741,novel,curated-pool,True,g1268
10,A,940,The Last of the Mohicans,James Fenimore Cooper,1826,9647,novel,curated-pool,True,g940
11,A,139,The Lost World,Arthur Conan Doyle,1912,9539,novel,curated-pool,True,g139
12,A,2500,Siddhartha,Hermann Hesse,1922,9381,novel,curated-pool,,
13,A,140,The Jungle,Upton Sinclair,1905,8892,novel,curated-pool,True,g140
14,A,4217,A Portrait of the Artist as a Young Man,James Joyce,1916,8579,novel,curated-pool,,
15,A,308,Three Men in a Boat,Jerome K. Jerome,1889,7984,novel,curated-pool,,
16,A,4517,Ethan Frome,Edith Wharton,1911,7695,novella,curated-pool,,
17,A,141,Mansfield Park,Jane Austen,1814,7376,novel,curated-pool,,
18,A,5230,The Invisible Man,H. G. Wells,1897,7093,novel,curated-pool,,
19,A,11231,"Bartleby, the Scrivener",Herman Melville,1853,6200,short story,curated-pool,,
20,A,972,The Devil's Dictionary,Ambrose Bierce,1911,6172,nonfiction,curated-pool,,
21,A,4276,North and South,Elizabeth Gaskell,1855,6162,novel,curated-pool,,
22,A,60976,Rip Van Winkle,Washington Irving,1818,5521,short story,curated-pool,,
23,A,375,An Occurrence at Owl Creek Bridge,Ambrose Bierce,1890,5510,short story,curated-pool,,
24,A,159,The Island of Doctor Moreau,H. G. Wells,1896,5465,novel,curated-pool,,
25,A,541,The Age of Innocence,Edith Wharton,1920,5356,novel,curated-pool,True,g541
26,A,82,Ivanhoe,Walter Scott,1819,5342,novel,curated-pool,,
27,A,60,The Scarlet Pimpernel,Baroness Orczy,1905,5053,novel,curated-pool,True,g60
28,A,201,Flatland,Edwin A. Abbott,1884,4122,novella,curated-pool,,
29,A,107,Far from the Madding Crowd,Thomas Hardy,1874,4112,novel,curated-pool,,
30,A,284,The House of Mirth,Edith Wharton,1905,4060,novel,curated-pool,True,g284
31,A,73144,Lady Chatterley's Lover,D. H. Lawrence,1928,4026,novel,curated-pool,,
32,A,148,The Autobiography of Benjamin Franklin,Benjamin Franklin,1791,3999,nonfiction,curated-pool,,
